text,category,priority,sentiment
"please help, awaz disturbance create ho raha hai colony me",public,Normal,Neutral
complaint: sadak toot gayi h society me immediate action needed,roads,Normal,Negative
complaint: garbage drain block ho gaya hai colony me immediate action needed,sanitation,Normal,Neutral
complaint: nala cleaning nahi hui area me please fix asap,sanitation,Normal,Negative
complaint: supply nahi aa raha area me bahut dikkat ho rahi hai,water,Normal,Negative
"please help, construction toot gayi hai colony me jaldi solve kare",roads,Normal,Neutral
"please help, crowd bahut zyada hai society me",public,Normal,Negative
urgent: tap water issue hai main road pe jaldi solve kare,water,High,Negative
urgent: traffic illegal parking ho rahi hai area me bahut dikkat ho rahi hai,public,High,Negative
"bahut problem hai, pipeline nahi aa raha main road pe",water,High,Negative
urgent: awaz bahut zyada h ghar ke paas immediate action needed,public,High,Negative
"please help, water water issue hai market me please fix asap",water,High,Negative
"serious issue, jal tap se pani nahi aa raha area me",water,High,Negative
urgent: road road damage hai society me immediate action needed,roads,High,Negative
urgent: transformer meter ka issue hai near hospital please fix asap,electricity,High,Negative
urgent: parking log bahut shor kar rahe hai society me jaldi solve kare,public,High,Negative
urgent: awaz traffic jam ho raha hai colony me immediate action needed,public,High,Negative
construction toot gayi h near hospital bahut dikkat ho rahi h,roads,Normal,Neutral
"bahut prblm h, pani pressure bahut kam h ghar ke paas please fix asap",water,Normal,Neutral
urgent: street toot gayi hai market me immediate action needed,roads,High,Negative
"bahut problem hai, current faat gaya area me please fix asap",electricity,Normal,Negative
construction toot gayi hai main road pe please fix asap,roads,Normal,Negative
"serious issue, drain overflow ho raha hai market me please fix asap",sanitation,High,Negative
"bahut prblm h, pipeline supply band h area me bahut dikkat ho rahi h",water,High,Negative
"bahut problem hai, pothole bade potholes hai near school immediate action needed",roads,High,Negative
"please help, voltage power failure ho gaya hai market me",electricity,Normal,Neutral
"serious issue, voltage power failure ho gaya hai near school bahut dikkat ho rahi hai",electricity,High,Negative
"serious issue, meter fluctuation ho raha hai main road pe jaldi solve kare",electricity,Normal,Negative
voltage power failure ho gaya hai main road pe bahut dikkat ho rahi hai,electricity,Normal,Neutral
"please help, awaz log bahut shor kar rahe hai society me please fix asap",public,Normal,Negative
road bade potholes h colony me please fix asap,roads,Normal,Negative
complaint: awaz log bahut shor kar rahe hai area me jaldi solve kare,public,Normal,Neutral
"bahut problem hai, meter meter ka issue hai ghar ke paas",electricity,Normal,Neutral
complaint: light power failure ho gaya hai market me bahut dikkat ho rahi hai,electricity,Normal,Negative
crowd control nahi ho raha market me,public,Normal,Negative
"please help, water ganda pani aa raha hai main road pe",water,Normal,Neutral
"serious issue, water ganda pani aa raha hai near school bahut dikkat ho rahi hai",water,High,Negative
complaint: drain bahut badbu aa rahi h market me jaldi solve kare,sanitation,Normal,Negative
"serious issue, drain overflow ho raha hai near school",sanitation,High,Negative
"please help, construction accident ka danger hai near school please fix asap",roads,High,Negative
complaint: water tap se pani nahi aa raha area me immediate action needed,water,Normal,Negative
complaint: pothole bade potholes hai society me immediate action needed,roads,Normal,Neutral
garbage drain block ho gaya hai near hospital immediate action needed,sanitation,Normal,Neutral
complaint: kooda nahi uthaya gaya near school immediate action needed,sanitation,Normal,Neutral
"please help, pani water issue hai area me bahut dikkat ho rahi hai",water,Normal,Negative
"bahut problem hai, kooda nahi uthaya gaya market me bahut dikkat ho rahi hai",sanitation,Normal,Neutral
urgent: nala cleaning nahi hui main road pe bahut dikkat ho rahi hai,sanitation,High,Negative
"please help, street bahut kharab condition me hai near school jaldi solve kare",roads,Normal,Negative
urgent: pothole road damage hai society me,roads,High,Negative
"serious issue, crowd control nahi ho raha market me",public,Normal,Negative
"bahut problem hai, traffic log bahut shor kar rahe hai main road pe jaldi solve kare",public,Normal,Negative
kooda kachra jama hai main road pe please fix asap,sanitation,Normal,Neutral
"bahut problem hai, street toot gayi hai near hospital",roads,Normal,Neutral
complaint: pani nahi aa raha area me bahut dikkat ho rahi hai,water,Normal,Neutral
"serious issue, street road damage h near hospital bahut dikkat ho rahi h",roads,High,Negative
"please help, road bahut kharab condition me hai market me bahut dikkat ho rahi hai",roads,High,Negative
"please help, current nahi aa rahi near school",electricity,Normal,Negative
urgent: light current nahi aa raha ghar ke paas immediate action needed,electricity,High,Negative
traffic disturbance create ho raha hai ghar ke paas please fix asap,public,High,Negative
pothole accident ka danger hai main road pe bahut dikkat ho rahi hai,roads,High,Negative
nala drain block ho gaya hai colony me,sanitation,Normal,Negative
"serious issue, waste area ganda hai market me immediate action needed",sanitation,Normal,Negative
complaint: parking log bahut shor kar rahe hai area me,public,Normal,Neutral
urgent: voltage transformer kharab h market me jaldi solve kare,electricity,High,Negative
"please help, construction bade potholes hai society me bahut dikkat ho rahi hai",roads,Normal,Negative
parking illegal parking ho rahi hai near school jaldi solve kare,public,Normal,Neutral
"serious issue, drain drain block ho gaya hai ghar ke paas jaldi solve kare",sanitation,Normal,Negative
awaz illegal parking ho rahi hai colony me bahut dikkat ho rahi hai,public,Normal,Neutral
"bahut problem hai, safai kachra jama hai main road pe jaldi solve kare",sanitation,Normal,Neutral
complaint: light fluctuation ho raha hai near school please fix asap,electricity,Normal,Neutral
"bahut problem hai, noise traffic jam ho raha hai area me bahut dikkat ho rahi hai",public,Normal,Negative
noise illegal parking ho rahi hai main road pe jaldi solve kare,public,Normal,Negative
pipeline tap se pani nahi aa raha near hospital please fix asap,water,Normal,Negative
urgent: pipeline pipeline leak ho rahi hai market me,water,High,Negative
awaz disturbance create ho raha hai colony me please fix asap,public,High,Negative
"serious issue, nala drain block ho gaya h near school",sanitation,Normal,Negative
parking control nahi ho raha society me immediate action needed,public,Normal,Negative
urgent: current nahi aa rahi near hospital please fix asap,electricity,High,Negative
"serious issue, supply nahi aa raha area me",water,Normal,Negative
"serious issue, power current nahi aa raha society me jaldi solve kare",electricity,Normal,Negative
"please help, current shock lagne ka danger hai colony me jaldi solve kare",electricity,High,Negative
urgent: sadak kaam adhura hai ghar ke paas bahut dikkat ho rahi hai,roads,High,Negative
urgent: electricity power failure ho gaya h colony me immediate action needed,electricity,High,Negative
"bahut problem hai, parking illegal parking ho rahi hai market me please fix asap",public,Normal,Neutral
"please help, power bar bar cut ho rahi hai near school jaldi solve kare",electricity,High,Negative
"serious issue, construction road damage hai ghar ke paas immediate action needed",roads,Normal,Negative
complaint: garbage area ganda hai near hospital please fix asap,sanitation,Normal,Neutral
awaz bahut zyada hai main road pe jaldi solve kare,public,Normal,Negative
"please help, waste bahut badbu aa rahi hai main road pe bahut dikkat ho rahi hai",sanitation,Normal,Neutral
"bahut problem hai, kooda drain block ho gaya hai ghar ke paas jaldi solve kare",sanitation,High,Negative
"serious issue, road road damage hai colony me bahut dikkat ho rahi hai",roads,Normal,Negative
"serious issue, road construction incomplete hai area me immediate action needed",roads,Normal,Negative
"bahut problem hai, sadak kaam adhura hai society me jaldi solve kare",roads,Normal,Negative
supply pipeline leak ho rahi hai area me immediate action needed,water,Normal,Negative
"serious issue, parking illegal parking ho rahi hai near school",public,Normal,Negative
"bahut problem hai, power transformer kharab hai ghar ke paas please fix asap",electricity,Normal,Neutral
noise disturbance create ho raha hai near school immediate action needed,public,Normal,Neutral
complaint: pipeline nahi aa raha ghar ke paas jaldi solve kare,water,Normal,Neutral
"serious issue, water pressure bahut kam hai near hospital please fix asap",water,Normal,Negative
power shock lagne ka danger hai near school jaldi solve kare,electricity,High,Negative
urgent: dp bar bar cut ho rahi hai main road pe bahut dikkat ho rahi hai,electricity,High,Negative
urgent: nala kachra jama hai near hospital jaldi solve kare,sanitation,High,Negative
urgent: crowd log bahut shor kar rahe hai near hospital jaldi solve kare,public,High,Negative
"serious issue, pani tap se pani nahi aa raha near hospital bahut dikkat ho rahi hai",water,High,Negative
"please help, nala area ganda hai market me immediate action needed",sanitation,Normal,Neutral
"serious issue, crowd control nahi ho raha main road pe please fix asap",public,High,Negative
"serious issue, parking bahut zyada hai market me immediate action needed",public,Normal,Negative
urgent: nala nahi uthaya gaya area me jaldi solve kare,sanitation,High,Negative
urgent: construction toot gayi h colony me bahut dikkat ho rahi h,roads,High,Negative
"serious issue, nala drain block ho gaya hai market me",sanitation,Normal,Negative
road road damage hai ghar ke paas jaldi solve kare,roads,Normal,Neutral
"please help, waste cleaning nahi hui ghar ke paas jaldi solve kare",sanitation,Normal,Negative
complaint: drain bahut badbu aa rahi h ghar ke paas immediate action needed,sanitation,Normal,Neutral
urgent: construction bahut kharab condition me hai near school bahut dikkat ho rahi hai,roads,High,Negative
"bahut problem hai, drain kachra jama hai ghar ke paas bahut dikkat ho rahi hai",sanitation,Normal,Neutral
road toot gayi hai market me immediate action needed,roads,Normal,Neutral
"bahut prblm h, electricity power failure ho gaya h near hospital jaldi solve kare",electricity,Normal,Neutral
urgent: light transformer kharab hai main road pe please fix asap,electricity,High,Negative
"serious issue, meter current nahi aa raha market me jaldi solve kare",electricity,Normal,Negative
supply water issue hai ghar ke paas please fix asap,water,Normal,Negative
urgent: street road damage h colony me,roads,High,Negative
"bahut prblm h, garbage overflow ho raha h near hospital please fix asap",sanitation,Normal,Negative
urgent: sadak bahut kharab condition me hai near hospital,roads,High,Negative
complaint: sadak accident ka danger hai colony me immediate action needed,roads,High,Negative
"please help, awaz log bahut shor kar rahe hai near hospital jaldi solve kare",public,Normal,Neutral
road toot gayi h market me immediate action needed,roads,Normal,Neutral
"serious issue, road accident ka danger hai ghar ke paas bahut dikkat ho rahi hai",roads,High,Negative
urgent: sadak road damage hai main road pe jaldi solve kare,roads,High,Negative
urgent: pani tap se pani nahi aa raha main road pe immediate action needed,water,High,Negative
"please help, parking bahut zyada h main road pe immediate action needed",public,Normal,Neutral
complaint: kooda cleaning nahi hui area me immediate action needed,sanitation,Normal,Neutral
pipeline nahi aa raha colony me jaldi solve kare,water,Normal,Negative
complaint: pothole bade potholes hai area me bahut dikkat ho rahi hai,roads,Normal,Neutral
complaint: current nahi aa rahi near school bahut dikkat ho rahi hai,electricity,Normal,Negative
light faat gaya main road pe,electricity,Normal,Neutral
supply pressure bahut kam hai near hospital immediate action needed,water,Normal,Negative
complaint: traffic disturbance create ho raha hai ghar ke paas jaldi solve kare,public,Normal,Neutral
urgent: dp meter ka issue hai market me jaldi solve kare,electricity,High,Negative
noise control nahi ho raha main road pe immediate action needed,public,Normal,Neutral
complaint: water water issue hai near school,water,Normal,Neutral
kooda overflow ho raha hai area me immediate action needed,sanitation,High,Negative
complaint: awaz traffic jam ho raha hai society me immediate action needed,public,Normal,Negative
urgent: garbage bahut badbu aa rahi hai area me immediate action needed,sanitation,High,Negative
urgent: traffic illegal parking ho rahi hai ghar ke paas bahut dikkat ho rahi hai,public,High,Negative
complaint: supply pipeline leak ho rahi hai society me bahut dikkat ho rahi hai,water,Normal,Negative
complaint: safai drain block ho gaya hai near hospital please fix asap,sanitation,Normal,Neutral
"please help, parking bahut zyada hai near hospital",public,High,Negative
urgent: tap nahi aa raha near school,water,High,Negative
urgent: sadak kaam adhura hai market me immediate action needed,roads,High,Negative
"serious issue, safai bahut badbu aa rahi h colony me bahut dikkat ho rahi h",sanitation,Normal,Negative
"bahut problem hai, pipeline ganda pani aa raha hai colony me please fix asap",water,Normal,Neutral
"serious issue, pani nahi aa raha society me immediate action needed",water,Normal,Negative
street accident ka danger h colony me please fix asap,roads,High,Negative
urgent: nala overflow ho raha h area me bahut dikkat ho rahi h,sanitation,High,Negative
"bahut prblm h, pothole bade potholes h market me please fix asap",roads,Normal,Negative
complaint: awaz log bahut shor kar rahe hai near hospital jaldi solve kare,public,Normal,Neutral
complaint: current nahi aa rahi near hospital please fix asap,electricity,Normal,Negative
"serious issue, road toot gayi hai society me please fix asap",roads,Normal,Negative
"bahut problem hai, nala nahi uthaya gaya ghar ke paas",sanitation,High,Negative
"serious issue, bijli transformer kharab hai colony me immediate action needed",electricity,Normal,Negative
urgent: street accident ka danger hai society me please fix asap,roads,High,Negative
"please help, crowd disturbance create ho raha hai society me jaldi solve kare",public,Normal,Negative
"serious issue, current faat gaya main road pe",electricity,Normal,Negative
complaint: light fluctuation ho raha hai main road pe please fix asap,electricity,Normal,Neutral
"serious issue, street road damage hai near school",roads,High,Negative
urgent: road bahut kharab condition me hai market me immediate action needed,roads,High,Negative
urgent: drain cleaning nahi hui market me immediate action needed,sanitation,High,Negative
"bahut problem hai, power faat gaya main road pe",electricity,Normal,Negative
"bahut problem hai, traffic bahut zyada hai colony me please fix asap",public,Normal,Neutral
"please help, meter power failure ho gaya hai near school",electricity,Normal,Neutral
"serious issue, nala bahut badbu aa rahi hai society me",sanitation,Normal,Negative
complaint: water supply band hai main road pe bahut dikkat ho rahi hai,water,Normal,Neutral
"bahut problem hai, street accident ka danger hai near hospital please fix asap",roads,High,Negative
"serious issue, nala overflow ho raha hai near school",sanitation,Normal,Negative
traffic illegal parking ho rahi hai ghar ke paas jaldi solve kare,public,Normal,Neutral
"serious issue, supply pressure bahut kam hai main road pe jaldi solve kare",water,Normal,Negative
"serious issue, supply pressure bahut kam hai near school immediate action needed",water,Normal,Negative
complaint: drain kachra jama hai near hospital immediate action needed,sanitation,Normal,Neutral
"serious issue, kooda drain block ho gaya hai colony me jaldi solve kare",sanitation,Normal,Negative
road accident ka danger h society me please fix asap,roads,High,Negative
"bahut problem hai, traffic traffic jam ho raha hai area me immediate action needed",public,Normal,Negative
complaint: tap pressure bahut kam h market me immediate action needed,water,High,Negative
"bahut problem hai, safai area ganda hai market me jaldi solve kare",sanitation,Normal,Negative
"serious issue, waste kachra jama hai near school immediate action needed",sanitation,Normal,Negative
"serious issue, pipeline tap se pani nahi aa raha main road pe jaldi solve kare",water,Normal,Negative
complaint: crowd traffic jam ho raha hai ghar ke paas please fix asap,public,Normal,Negative
"serious issue, crowd log bahut shor kar rahe hai near school bahut dikkat ho rahi hai",public,Normal,Negative
construction kaam adhura hai near school jaldi solve kare,roads,High,Negative
complaint: sadak road damage hai area me please fix asap,roads,High,Negative
complaint: road road damage hai main road pe,roads,High,Negative
complaint: construction accident ka danger hai society me please fix asap,roads,High,Negative
urgent: pothole accident ka danger hai ghar ke paas please fix asap,roads,High,Negative
"bahut prblm h, noise log bahut shor kar rahe h main road pe please fix asap",public,Normal,Neutral
"serious issue, noise traffic jam ho raha hai society me please fix asap",public,Normal,Negative
"bahut problem hai, nala bahut badbu aa rahi hai market me jaldi solve kare",sanitation,Normal,Negative
"serious issue, electricity fluctuation ho raha hai market me immediate action needed",electricity,Normal,Negative
"bahut problem hai, current transformer kharab hai society me bahut dikkat ho rahi hai",electricity,Normal,Negative
"bahut problem hai, pipeline supply band hai ghar ke paas",water,High,Negative
complaint: sadak accident ka danger hai ghar ke paas jaldi solve kare,roads,High,Negative
urgent: noise traffic jam ho raha hai main road pe immediate action needed,public,High,Negative
"serious issue, parking bahut zyada hai area me",public,Normal,Negative
"serious issue, garbage drain block ho gaya hai main road pe jaldi solve kare",sanitation,Normal,Negative
complaint: water ganda pani aa raha hai colony me immediate action needed,water,Normal,Neutral
dp transformer kharab hai area me jaldi solve kare,electricity,Normal,Neutral
"please help, current transformer kharab hai ghar ke paas bahut dikkat ho rahi hai",electricity,Normal,Negative
waste drain block ho gaya hai society me jaldi solve kare,sanitation,Normal,Neutral
safai area ganda hai near hospital,sanitation,Normal,Neutral
"serious issue, power meter ka issue h ghar ke paas",electricity,Normal,Negative
"serious issue, jal pipeline leak ho rahi hai ghar ke paas immediate action needed",water,Normal,Negative
"serious issue, supply water issue hai market me please fix asap",water,Normal,Negative
"serious issue, garbage drain block ho gaya hai near hospital jaldi solve kare",sanitation,Normal,Negative
"please help, parking illegal parking ho rahi hai colony me jaldi solve kare",public,High,Negative
complaint: street road damage hai near hospital immediate action needed,roads,Normal,Negative
urgent: pipeline pipeline leak ho rahi hai near hospital immediate action needed,water,High,Negative
"please help, tap pressure bahut kam h area me immediate action needed",water,High,Negative
"please help, noise illegal parking ho rahi hai near school jaldi solve kare",public,High,Negative
complaint: sadak construction incomplete hai area me jaldi solve kare,roads,High,Negative
urgent: jal nahi aa raha society me jaldi solve kare,water,High,Negative
complaint: light bar bar cut ho rahi h near hospital jaldi solve kare,electricity,Normal,Neutral
"please help, meter nahi aa rahi near school jaldi solve kare",electricity,Normal,Neutral
complaint: power shock lagne ka danger hai near hospital jaldi solve kare,electricity,High,Negative
garbage drain block ho gaya hai market me bahut dikkat ho rahi hai,sanitation,Normal,Negative
safai kachra jama hai near school immediate action needed,sanitation,Normal,Neutral
"serious issue, electricity current nahi aa raha area me",electricity,Normal,Negative
urgent: garbage bahut badbu aa rahi h colony me please fix asap,sanitation,High,Negative
urgent: light power failure ho gaya hai colony me immediate action needed,electricity,High,Negative
transformer nahi aa rahi society me immediate action needed,electricity,Normal,Neutral
"please help, transformer shock lagne ka danger hai area me bahut dikkat ho rahi hai",electricity,High,Negative
"please help, pothole bade potholes hai near school immediate action needed",roads,Normal,Neutral
"please help, jal pressure bahut kam hai main road pe bahut dikkat ho rahi hai",water,Normal,Neutral
sadak construction incomplete hai area me bahut dikkat ho rahi hai,roads,Normal,Neutral
"serious issue, road construction incomplete h main road pe immediate action needed",roads,Normal,Negative
"bahut problem hai, traffic disturbance create ho raha hai near hospital jaldi solve kare",public,Normal,Neutral
urgent: safai drain block ho gaya hai market me,sanitation,High,Negative
"please help, construction kaam adhura hai near hospital immediate action needed",roads,Normal,Negative
"serious issue, tap nahi aa raha colony me jaldi solve kare",water,Normal,Negative
pani ganda pani aa raha hai main road pe immediate action needed,water,Normal,Negative
urgent: traffic bahut zyada hai area me bahut dikkat ho rahi hai,public,High,Negative
"please help, pothole kaam adhura hai near hospital please fix asap",roads,Normal,Neutral
"please help, sadak toot gayi hai market me jaldi solve kare",roads,Normal,Negative
"serious issue, dp meter ka issue hai society me",electricity,Normal,Negative
"bahut prblm h, noise disturbance create ho raha h main road pe immediate action needed",public,Normal,Neutral
urgent: traffic traffic jam ho raha h ghar ke paas immediate action needed,public,High,Negative
pani water issue hai main road pe bahut dikkat ho rahi hai,water,Normal,Neutral
urgent: meter power failure ho gaya hai area me,electricity,High,Negative
pothole construction incomplete hai society me,roads,Normal,Neutral
"please help, sadak toot gayi h near school",roads,Normal,Negative
"serious issue, drain overflow ho raha hai near hospital jaldi solve kare",sanitation,High,Negative
complaint: supply nahi aa raha area me,water,Normal,Neutral
sadak toot gayi hai near school bahut dikkat ho rahi hai,roads,High,Negative
pothole toot gayi hai near school please fix asap,roads,Normal,Negative
"please help, pothole toot gayi hai area me immediate action needed",roads,Normal,Neutral
complaint: waste drain block ho gaya hai main road pe immediate action needed,sanitation,Normal,Neutral
"please help, traffic log bahut shor kar rahe hai near school immediate action needed",public,Normal,Negative
"serious issue, parking control nahi ho raha main road pe immediate action needed",public,Normal,Negative
bijli current nahi aa raha society me immediate action needed,electricity,Normal,Neutral
"please help, waste area ganda hai near hospital immediate action needed",sanitation,Normal,Negative
"please help, crowd traffic jam ho raha hai near hospital",public,High,Negative
"please help, garbage area ganda hai main road pe",sanitation,High,Negative
"serious issue, jal nahi aa raha main road pe bahut dikkat ho rahi hai",water,Normal,Negative
"bahut problem hai, pothole bade potholes hai society me please fix asap",roads,High,Negative
"bahut problem hai, traffic log bahut shor kar rahe hai market me jaldi solve kare",public,Normal,Negative
complaint: kooda nahi uthaya gaya market me jaldi solve kare,sanitation,Normal,Negative
complaint: street accident ka danger hai market me please fix asap,roads,High,Negative
complaint: crowd traffic jam ho raha hai area me immediate action needed,public,Normal,Neutral
"serious issue, waste overflow ho raha hai ghar ke paas bahut dikkat ho rahi hai",sanitation,Normal,Negative
complaint: drain kachra jama hai colony me bahut dikkat ho rahi hai,sanitation,Normal,Neutral
complaint: bijli fluctuation ho raha hai area me jaldi solve kare,electricity,Normal,Negative
"serious issue, parking traffic jam ho raha hai area me bahut dikkat ho rahi hai",public,Normal,Negative
complaint: electricity transformer kharab hai society me immediate action needed,electricity,High,Negative
"bahut problem hai, awaz log bahut shor kar rahe hai main road pe please fix asap",public,Normal,Neutral
"bahut problem hai, street bade potholes hai main road pe",roads,Normal,Neutral
"please help, pipeline pressure bahut kam hai market me immediate action needed",water,High,Negative
complaint: pipeline pipeline leak ho rahi hai near hospital bahut dikkat ho rahi hai,water,Normal,Neutral
"serious issue, pani ganda pani aa raha h colony me jaldi solve kare",water,Normal,Negative
urgent: bijli meter ka issue hai market me please fix asap,electricity,High,Negative
traffic illegal parking ho rahi hai society me jaldi solve kare,public,Normal,Negative
"serious issue, road accident ka danger hai market me bahut dikkat ho rahi hai",roads,High,Negative
urgent: sadak bade potholes hai market me bahut dikkat ho rahi hai,roads,High,Negative
complaint: pani nahi aa raha ghar ke paas immediate action needed,water,Normal,Neutral
"please help, bijli nahi aa rahi area me jaldi solve kare",electricity,Normal,Neutral
"serious issue, garbage kachra jama hai ghar ke paas immediate action needed",sanitation,High,Negative
"serious issue, nala area ganda hai colony me jaldi solve kare",sanitation,Normal,Negative
"please help, awaz traffic jam ho raha hai area me jaldi solve kare",public,Normal,Neutral
"please help, electricity meter ka issue hai main road pe please fix asap",electricity,Normal,Neutral
street construction incomplete h society me jaldi solve kare,roads,Normal,Neutral
complaint: transformer meter ka issue h area me please fix asap,electricity,Normal,Negative
"serious issue, noise bahut zyada hai colony me",public,High,Negative
complaint: traffic disturbance create ho raha hai area me jaldi solve kare,public,Normal,Neutral
"bahut problem hai, safai bahut badbu aa rahi hai area me please fix asap",sanitation,High,Negative
urgent: safai drain block ho gaya hai society me,sanitation,High,Negative
urgent: waste cleaning nahi hui near hospital bahut dikkat ho rahi hai,sanitation,High,Negative
"bahut problem hai, noise log bahut shor kar rahe hai near school",public,Normal,Negative
dp power failure ho gaya hai near school immediate action needed,electricity,Normal,Neutral
urgent: awaz bahut zyada hai main road pe please fix asap,public,High,Negative
complaint: construction bahut kharab condition me hai area me please fix asap,roads,Normal,Neutral
traffic illegal parking ho rahi hai main road pe immediate action needed,public,Normal,Neutral
street accident ka danger hai society me jaldi solve kare,roads,High,Negative
complaint: supply pipeline leak ho rahi hai market me,water,Normal,Negative
"bahut problem hai, nala nahi uthaya gaya market me",sanitation,High,Negative
"serious issue, kooda cleaning nahi hui market me jaldi solve kare",sanitation,Normal,Negative
"bahut problem hai, pipeline nahi aa raha society me immediate action needed",water,Normal,Negative
"serious issue, tap pipeline leak ho rahi hai main road pe please fix asap",water,Normal,Negative
"bahut prblm h, current current nahi aa raha main road pe immediate action needed",electricity,Normal,Neutral
electricity current nahi aa raha area me bahut dikkat ho rahi hai,electricity,Normal,Negative
"please help, garbage overflow ho raha hai main road pe",sanitation,Normal,Neutral
"please help, pothole accident ka danger hai society me please fix asap",roads,High,Negative
"serious issue, jal water issue hai main road pe jaldi solve kare",water,High,Negative
urgent: parking bahut zyada hai ghar ke paas immediate action needed,public,High,Negative
road accident ka danger h society me immediate action needed,roads,High,Negative
"serious issue, nala kachra jama hai main road pe immediate action needed",sanitation,High,Negative
urgent: traffic traffic jam ho raha h area me immediate action needed,public,High,Negative
"please help, electricity bar bar cut ho rahi h main road pe bahut dikkat ho rahi h",electricity,Normal,Negative
"please help, dp transformer kharab hai ghar ke paas jaldi solve kare",electricity,High,Negative
bijli fluctuation ho raha hai main road pe bahut dikkat ho rahi hai,electricity,Normal,Neutral
"bahut problem hai, garbage kachra jama hai colony me",sanitation,High,Negative
"bahut problem hai, garbage drain block ho gaya hai near school",sanitation,Normal,Neutral
"serious issue, pipeline ganda pani aa raha h market me",water,Normal,Negative
"please help, road bahut kharab condition me hai area me immediate action needed",roads,Normal,Neutral
complaint: electricity transformer kharab h market me,electricity,Normal,Negative
"serious issue, electricity bar bar cut ho rahi hai near hospital",electricity,Normal,Negative
"please help, safai nahi uthaya gaya near school bahut dikkat ho rahi hai",sanitation,High,Negative
complaint: pothole road damage hai market me immediate action needed,roads,Normal,Neutral
complaint: water pipeline leak ho rahi hai near school please fix asap,water,Normal,Neutral
urgent: road toot gayi hai near school jaldi solve kare,roads,High,Negative
waste bahut badbu aa rahi hai market me,sanitation,Normal,Negative
"please help, pothole kaam adhura h society me immediate action needed",roads,Normal,Neutral
urgent: water pipeline leak ho rahi hai market me,water,High,Negative
"please help, noise control nahi ho raha near hospital please fix asap",public,High,Negative
urgent: road road damage hai main road pe please fix asap,roads,High,Negative
complaint: current meter ka issue hai market me bahut dikkat ho rahi hai,electricity,Normal,Neutral
"bahut problem hai, construction construction incomplete hai colony me immediate action needed",roads,Normal,Negative
"please help, nala overflow ho raha hai ghar ke paas",sanitation,Normal,Neutral
urgent: drain area ganda h colony me immediate action needed,sanitation,High,Negative
urgent: meter bar bar cut ho rahi hai near school jaldi solve kare,electricity,High,Negative
"bahut problem hai, light bar bar cut ho rahi hai near hospital please fix asap",electricity,Normal,Negative
"serious issue, power nahi aa rahi area me jaldi solve kare",electricity,Normal,Negative
street bahut kharab condition me hai market me please fix asap,roads,Normal,Neutral
complaint: tap supply band hai main road pe,water,Normal,Neutral
urgent: voltage current nahi aa raha colony me please fix asap,electricity,High,Negative
complaint: road accident ka danger hai main road pe please fix asap,roads,High,Negative
traffic disturbance create ho raha hai colony me bahut dikkat ho rahi hai,public,Normal,Neutral
"serious issue, tap ganda pani aa raha hai main road pe immediate action needed",water,Normal,Negative
"serious issue, nala area ganda hai colony me bahut dikkat ho rahi hai",sanitation,High,Negative
urgent: construction construction incomplete hai ghar ke paas,roads,High,Negative
"serious issue, electricity fluctuation ho raha h ghar ke paas jaldi solve kare",electricity,Normal,Negative
water pressure bahut kam hai area me please fix asap,water,Normal,Neutral
complaint: dp shock lagne ka danger hai near hospital bahut dikkat ho rahi hai,electricity,High,Negative
crowd disturbance create ho raha hai market me,public,Normal,Neutral
complaint: drain cleaning nahi hui society me jaldi solve kare,sanitation,Normal,Neutral
complaint: crowd illegal parking ho rahi hai near hospital immediate action needed,public,Normal,Negative
"bahut problem hai, crowd bahut zyada hai area me",public,Normal,Neutral
"serious issue, power fluctuation ho raha h area me",electricity,Normal,Negative
"please help, sadak kaam adhura hai near school please fix asap",roads,Normal,Neutral
"serious issue, bijli power failure ho gaya hai ghar ke paas jaldi solve kare",electricity,Normal,Negative
"bahut problem hai, supply tap se pani nahi aa raha market me immediate action needed",water,Normal,Negative
"please help, safai overflow ho raha hai area me",sanitation,Normal,Negative
"serious issue, pani nahi aa raha colony me please fix asap",water,High,Negative
complaint: parking illegal parking ho rahi hai main road pe jaldi solve kare,public,High,Negative
"bahut problem hai, kooda cleaning nahi hui area me please fix asap",sanitation,Normal,Neutral
urgent: dp fluctuation ho raha h area me immediate action needed,electricity,High,Negative
complaint: pothole road damage hai colony me please fix asap,roads,High,Negative
"bahut problem hai, kooda cleaning nahi hui near school jaldi solve kare",sanitation,Normal,Negative
bijli transformer kharab hai area me please fix asap,electricity,Normal,Neutral
urgent: dp power failure ho gaya hai main road pe,electricity,High,Negative
urgent: electricity fluctuation ho raha hai near hospital please fix asap,electricity,High,Negative
water pipeline leak ho rahi hai near hospital,water,Normal,Neutral
transformer shock lagne ka danger hai main road pe please fix asap,electricity,High,Negative
urgent: pipeline ganda pani aa raha hai near school immediate action needed,water,High,Negative
"please help, road kaam adhura h market me immediate action needed",roads,Normal,Negative
urgent: construction toot gayi hai near hospital please fix asap,roads,High,Negative
"serious issue, nala drain block ho gaya hai market me",sanitation,Normal,Negative
"bahut problem hai, parking bahut zyada hai near school",public,Normal,Neutral
"please help, meter power failure ho gaya hai main road pe jaldi solve kare",electricity,Normal,Negative
"bahut prblm h, pothole bade potholes h near school immediate action needed",roads,Normal,Negative
urgent: street bade potholes hai near hospital immediate action needed,roads,High,Negative
"serious issue, parking traffic jam ho raha hai near hospital jaldi solve kare",public,Normal,Negative
"bahut problem hai, safai bahut badbu aa rahi hai market me immediate action needed",sanitation,High,Negative
